,movieId,title,genres,year
0,1,toystory,Adventure|Animation|Children|Comedy|Fantasy,1995
9,10,goldeneye,Action|Adventure|Thriller,1995
13,14,nixon,Drama,1995
14,15,cutthroatisland,Action|Adventure|Romance,1995
15,16,casino,Crime|Drama,1995
16,17,senseandsensibility,Drama|Romance,1995
17,18,fourrooms,Comedy,1995
18,19,aceventura:whennaturecalls,Comedy,1995
19,20,moneytrain,Action|Comedy|Crime|Drama|Thriller,1995
20,21,getshorty,Comedy|Crime|Thriller,1995
21,22,copycat,Crime|Drama|Horror|Mystery|Thriller,1995
22,23,assassins,Action|Crime|Thriller,1995
24,25,leavinglasvegas,Drama|Romance,1995
32,34,babe,Children|Drama,1995
34,36,deadmanwalking,Crime|Drama,1995
37,39,clueless,Comedy|Romance,1995
39,41,richardiii,Drama|War,1995
41,43,restoration,Drama,1995
42,44,mortalkombat,Action|Adventure|Fantasy,1995
43,45,todiefor,Comedy|Drama|Thriller,1995
46,48,pocahontas,Animation|Children|Drama|Musical|Romance,1995
53,57,homefortheholidays,Drama,1995
57,61,eyeforaneye,Drama|Thriller,1996
58,62,mr.holland'sopus,Drama,1995
64,69,friday,Comedy,1995
65,70,fromdusktilldawn,Action|Comedy|Horror|Thriller,1996
75,81,thingstodoindenverwhenyou'redead,Crime|Drama|Romance,1995
80,86,whitesquall,Action|Adventure|Drama,1996
84,92,maryreilly,Drama|Horror|Thriller,1996
85,93,vampireinbrooklyn,Comedy|Horror|Romance,1995
87,95,brokenarrow,Action|Adventure|Thriller,1996
92,100,cityhall,Drama|Thriller,1996
93,101,bottlerocket,Adventure|Comedy|Crime|Romance,1996
96,104,happygilmore,Comedy,1996
100,110,braveheart,Action|Drama|War,1995
101,111,taxidriver,Crime|Drama|Thriller,1976
110,122,boomerang,Comedy|Romance,1992
113,125,flirtingwithdisaster,Comedy,1996
118,132,jade,Thriller,1995
129,150,apollo13,Adventure|Drama|IMAX,1995
130,151,robroy,Action|Drama|Romance|War,1995
132,153,batmanforever,Action|Adventure|Comedy|Crime,1995
137,158,casper,Adventure|Children,1995
139,160,congo,Action|Adventure|Mystery|Sci-Fi,1995
140,161,crimsontide,Drama|Thriller|War,1995
142,163,desperado,Action|Romance|Western,1995
144,165,diehard:withavengeance,Action|Crime|Thriller,1995
147,168,firstknight,Action|Drama|Romance,1995
149,170,hackers,Action|Adventure|Crime|Thriller,1995
154,175,kids,Drama,1995
159,180,mallrats,Comedy|Romance,1995
168,190,safe,Thriller,1995
170,193,showgirls,Drama,1995
173,196,species,Horror|Sci-Fi,1995
180,204,undersiege2:darkterritory,Action,1995
184,208,waterworld,Action|Adventure|Sci-Fi,1995
189,215,beforesunrise,Drama|Romance,1995
196,223,clerks,Comedy,1994
197,224,donjuandemarco,Comedy|Drama|Romance,1995
198,225,disclosure,Drama|Thriller,1994
205,233,exotica,Drama,1994
207,235,edwood,Comedy|Drama,1994
218,246,hoopdreams,Documentary,1994
219,247,heavenlycreatures,Crime|Drama,1994
226,254,jeffersoninparis,Drama,1995
238,266,legendsofthefall,Drama|Romance|War|Western,1994
246,274,manofthehouse,Comedy,1995
262,292,outbreak,Action|Drama|Sci-Fi|Thriller,1995
266,296,pulpfiction,Comedy|Crime|Drama|Thriller,1994
292,327,tankgirl,Action|Comedy|Sci-Fi,1995
294,329,startrek:generations,Adventure|Drama|Sci-Fi,1994
295,330,talesfromthehood,Action|Crime|Horror,1995
302,337,what'seatinggilbertgrape,Drama,1993
303,338,virtuosity,Action|Sci-Fi|Thriller,1995
309,344,aceventura:petdetective,Comedy,1994
313,348,bulletsoverbroadway,Comedy,1994
314,349,clearandpresentdanger,Action|Crime|Drama|Thriller,1994
317,352,crooklyn,Comedy|Drama,1994
321,356,forrestgump,Comedy|Drama|Romance|War,1994
322,357,fourweddingsandafuneral,Comedy|Romance,1994
341,377,speed,Action|Romance|Thriller,1994
343,379,timecop,Action|Sci-Fi|Thriller,1994
344,380,truelies,Action|Adventure|Comedy|Romance|Thriller,1994
346,382,wolf,Drama|Horror|Romance|Thriller,1994
347,383,wyattearp,Western,1994
355,393,streetfighter,Action|Adventure|Fantasy,1994
370,420,beverlyhillscopiii,Action|Comedy|Crime|Thriller,1994
383,434,cliffhanger,Action|Adventure|Thriller,1993
390,441,dazedandconfused,Comedy,1993
427,480,jurassicpark,Action|Adventure|Sci-Fi|Thriller,1993
429,482,killingzoe,Crime|Drama|Thriller,1994
432,485,lastactionhero,Action|Adventure|Comedy|Fantasy,1993
440,493,menaceiisociety,Action|Crime|Drama,1993
441,494,executivedecision,Action|Adventure|Thriller,1996
444,497,muchadoaboutnothing,Comedy|Romance,1993
447,500,mrs.doubtfire,Comedy|Drama,1993
450,504,noescape,Action|Drama|Sci-Fi,1994
454,508,philadelphia,Drama,1993
456,510,poeticjustice,Drama,1993
462,516,renaissanceman,Comedy|Drama,1994
465,519,robocop3,Action|Crime|Drama|Sci-Fi|Thriller,1993
467,521,romeoisbleeding,Crime|Thriller,1993
469,523,rubyinparadise,Drama,1993
472,527,schindler'slist,Drama|War,1993
476,532,serialmom,Comedy|Crime|Horror,1994
478,534,shadowlands,Drama|Romance,1993
485,541,bladerunner,Action|Sci-Fi|Thriller,1982
489,546,supermariobros.,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,1993
496,553,tombstone,Action|Drama|Western,1993
498,555,trueromance,Crime|Thriller,1993
503,562,welcometothedollhouse,Comedy|Drama,1995
519,586,homealone,Children|Comedy,1990
520,587,ghost,Comedy|Drama|Fantasy|Romance|Thriller,1990
521,588,aladdin,Adventure|Animation|Children|Comedy|Musical,1992
522,589,terminator2:judgmentday,Action|Sci-Fi,1991
523,590,danceswithwolves,Adventure|Drama|Western,1990
526,594,snowwhiteandthesevendwarfs,Animation|Children|Drama|Fantasy|Musical,1937
528,596,pinocchio,Animation|Children|Fantasy|Musical,1940
529,597,prettywoman,Comedy|Romance,1990
537,610,heavymetal,Action|Adventure|Animation|Horror|Sci-Fi,1981
556,637,sgt.bilko,Comedy,1996
558,639,girl6,Comedy|Drama,1996
560,647,courageunderfire,Action|Crime|Drama|War,1996
561,648,mission:impossible,Action|Adventure|Mystery|Thriller,1996
564,653,dragonheart,Action|Adventure|Fantasy,1996
570,664,faithful,Comedy,1996
576,673,spacejam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,1996
577,674,barbarella,Adventure|Comedy|Sci-Fi,1968
586,691,mrs.winterbourne,Comedy|Romance,1996
606,719,multiplicity,Comedy,1996
617,736,twister,Action|Adventure|Romance|Thriller,1996
620,742,thinner,Horror|Thriller,1996
621,743,spyhard,Comedy,1996
626,750,dr.strangeloveor:howilearnedtostopworryingandlovethebomb,Comedy|War,1964
635,762,striptease,Comedy|Crime,1996
642,778,trainspotting,Comedy|Crime|Drama,1996
649,785,kingpin,Comedy,1996
650,786,eraser,Action|Drama|Thriller,1996
654,798,daylight,Action|Adventure|Drama|Thriller,1996
656,800,lonestar,Drama|Mystery|Western,1996
657,801,harrietthespy,Children|Comedy,1996
658,802,phenomenon,Drama|Romance,1996
659,803,walkingandtalking,Comedy|Drama|Romance,1996
660,804,she'stheone,Comedy|Romance,1996
664,809,fled,Action|Adventure,1996
674,831,stonewall,Drama,1995
675,832,ransom,Crime|Thriller,1996
679,836,chainreaction,Action|Adventure|Thriller,1996
690,849,escapefroml.a.,Action|Adventure|Sci-Fi|Thriller,1996
692,851,basquiat,Drama,1996
693,852,tincup,Comedy|Drama|Romance,1996
699,866,bound,Crime|Drama|Romance|Thriller,1996
701,869,kansascity,Crime|Drama|Musical|Thriller,1996
710,885,bogus,Children|Drama|Fantasy,1996
720,899,singin'intherain,Comedy|Musical|Romance,1952
726,905,ithappenedonenight,Comedy|Romance,1934
731,910,somelikeithot,Comedy|Crime,1959
733,912,casablanca,Drama|Romance,1942
735,914,myfairlady,Comedy|Drama|Musical|Romance,1964
741,920,gonewiththewind,Drama|Romance|War,1939
745,924,2001:aspaceodyssey,Adventure|Drama|Sci-Fi,2001
748,928,rebecca,Drama|Mystery|Romance|Thriller,1940
765,945,tophat,Comedy|Musical|Romance,1935
773,953,it'sawonderfullife,Children|Drama|Fantasy|Romance,1946
774,954,mr.smithgoestowashington,Drama,1939
788,971,catonahottinroof,Drama,1958
799,990,maximumrisk,Action|Adventure|Thriller,1996
800,991,michaelcollins,Drama,1996
805,998,setitoff,Action|Crime,1996
807,1003,extrememeasures,Drama|Thriller,1996
824,1020,coolrunnings,Comedy,1993
831,1027,robinhood:princeofthieves,Adventure|Drama,1991
832,1028,marypoppins,Children|Comedy|Fantasy|Musical,1964
834,1030,pete'sdragon,Adventure|Animation|Children|Musical,1977
838,1034,freeway,Comedy|Crime|Drama|Thriller,1996
840,1036,diehard,Action|Crime|Thriller,1988
844,1042,thatthingyoudo!,Comedy|Drama,1996
851,1051,treeslounge,Drama,1996
853,1054,getonthebus,Drama,1996
854,1055,shadowconspiracy,Thriller,1997
856,1057,everyonesaysiloveyou,Comedy|Musical|Romance,1996
858,1060,swingers,Comedy|Drama,1996
859,1061,sleepers,Thriller,1996
866,1073,willywonka&thechocolatefactory,Children|Comedy|Fantasy|Musical,1971
868,1077,sleeper,Comedy|Sci-Fi,1973
869,1078,bananas,Comedy|War,1971
880,1089,reservoirdogs,Crime|Mystery|Thriller,1992
881,1090,platoon,Drama|War,1986
886,1095,glengarryglenross,Drama,1992
888,1097,e.t.theextra-terrestrial,Children|Drama|Sci-Fi,1982
890,1100,daysofthunder,Action|Drama|Romance,1990
891,1101,topgun,Action|Romance,1986
906,1129,escapefromnewyork,Action|Adventure|Sci-Fi|Thriller,1981
911,1135,privatebenjamin,Comedy,1980
912,1136,montypythonandtheholygrail,Adventure|Comedy|Fantasy,1975
944,1186,"sex,lies,andvideotape",Drama,1989
951,1193,oneflewoverthecuckoo'snest,Drama,1975
956,1199,brazil,Fantasy|Sci-Fi,1985
957,1200,aliens,Action|Adventure|Horror|Sci-Fi,1986
961,1204,lawrenceofarabia,Adventure|Drama|War,1962
963,1207,tokillamockingbird,Drama,1962
964,1208,apocalypsenow,Action|Drama|War,1979
969,1213,goodfellas,Crime|Drama,1990
970,1214,alien,Horror|Sci-Fi,1979
971,1215,armyofdarkness,Action|Adventure|Comedy|Fantasy|Horror,1993
980,1224,henryv,Action|Drama|Romance|War,1989
981,1225,amadeus,Drama,1984
983,1227,onceuponatimeinamerica,Crime|Drama,1984
984,1228,ragingbull,Drama,1980
985,1230,anniehall,Comedy|Romance,1977
991,1236,trust,Comedy|Drama|Romance,1990
996,1242,glory,Drama|War,1989
1000,1246,deadpoetssociety,Drama,1989
1013,1259,standbyme,Adventure|Drama,1986
1019,1265,groundhogday,Comedy|Fantasy|Romance,1993
1020,1266,unforgiven,Drama|Western,1992
1024,1270,backtothefuture,Adventure|Comedy|Sci-Fi,1985
1026,1272,patton,Drama|War,1970
