,userId,movieId,rating,timestamp
2,1,1061,3.0,1260759182
3,1,1129,2.0,1260759185
7,1,1293,2.0,1260759148
10,1,1371,2.5,1260759135
11,1,1405,1.0,1260759203
16,1,2294,2.0,1260759108
18,1,2968,1.0,1260759200
19,1,3671,3.0,1260759117
20,2,10,4.0,835355493
21,2,17,5.0,835355681
22,2,39,5.0,835355604
26,2,62,3.0,835355749
27,2,110,4.0,835355532
29,2,150,5.0,835355395
30,2,153,4.0,835355441
31,2,161,3.0,835355493
32,2,165,3.0,835355441
33,2,168,3.0,835355710
36,2,208,3.0,835355511
38,2,223,1.0,835355749
39,2,225,3.0,835355552
40,2,235,3.0,835355664
45,2,266,5.0,835355586
48,2,292,3.0,835355492
49,2,296,4.0,835355395
55,2,349,4.0,835355441
57,2,356,3.0,835355628
58,2,357,3.0,835355749
64,2,377,3.0,835355710
65,2,382,3.0,835356165
72,2,480,4.0,835355643
73,2,485,3.0,835355918
74,2,497,3.0,835355880
75,2,500,4.0,835355731
76,2,508,4.0,835355860
79,2,527,4.0,835355731
86,2,586,3.0,835355790
87,2,587,3.0,835355779
88,2,588,3.0,835355441
89,2,589,5.0,835355697
90,2,590,5.0,835355395
97,3,110,4.0,1298922049
98,3,247,3.5,1298861637
100,3,296,4.5,1298862418
103,3,356,5.0,1298862167
104,3,377,2.5,1298923242
105,3,527,3.0,1298862528
106,3,588,3.0,1298922100
110,3,736,3.5,1298932787
111,3,778,4.0,1298863157
112,3,866,3.0,1298861687
117,3,1378,4.0,1298861658
120,3,1884,4.0,1298863143
121,3,2028,4.0,1298921862
122,3,2318,4.0,1298861753
123,3,2513,3.0,1298861789
124,3,2694,3.0,1298862710
125,3,2702,3.5,1298861796
128,3,2841,4.0,1298861733
129,3,2858,4.0,1298921825
130,3,2959,5.0,1298862874
132,3,3510,4.0,1298861633
133,3,3949,5.0,1298863174
134,3,5349,3.0,1298923266
135,3,5669,3.5,1298862672
136,3,6377,3.0,1298922080
138,3,7361,3.0,1298922065
139,3,8622,3.5,1298861650
140,3,8636,3.0,1298932766
142,3,44191,3.5,1298932740
143,3,48783,4.5,1298862361
144,3,50068,4.5,1298862467
147,4,10,4.0,949810645
148,4,34,5.0,949919556
151,4,153,4.0,949811346
156,4,296,5.0,949895708
157,4,329,3.0,949810618
158,4,349,5.0,949810582
159,4,356,5.0,949919763
160,4,357,5.0,949919681
163,4,380,3.0,949810534
166,4,434,4.0,949810688
171,4,480,5.0,949810582
172,4,541,5.0,949779091
173,4,588,5.0,949949486
174,4,589,5.0,949919938
175,4,590,3.0,949810534
176,4,594,5.0,949949538
177,4,596,5.0,949949638
178,4,610,4.0,949982238
182,4,910,4.0,949919306
188,4,1028,5.0,949949638
189,4,1030,5.0,949896377
193,4,1036,5.0,949896244
194,4,1073,5.0,949919372
196,4,1089,5.0,949895732
